TARGETS: message TI sent to server
TARGETS: ntargets = 15
44,34
36,2
8,28
27,3
80,3
59,30
95,19
93,45
65,16
6,22
21,43
41,33
12,23
80,41
5,15
TARGETS: ntargets = 7
84,31
85,14
51,40
27,39
75,45
30,42
82,42
TARGETS: ntargets = 10
83,33
22,19
77,45
7,43
95,37
58,7
91,33
48,45
91,40
32,12
TARGETS: ntargets = 19
44,34
64,46
31,15
89,12
67,3
30,29
8,2
97,14
63,28
49,32
26,8
94,7
13,6
92,15
32,35
64,42
15,27
52,42
26,47
TARGETS: ntargets = 5
71,6
32,47
88,19
43,34
41,38
TARGETS: ntargets = 6
40,17
66,15
25,46
40,16
54,3
57,35
TARGETS: ntargets = 5
60,7
12,20
94,15
95,24
59,42
TARGETS: ntargets = 7
44,42
96,26
68,11
37,21
4,26
17,29
53,43
TARGETS: ntargets = 19
64,4
80,37
35,18
19,31
17,29
86,45
97,25
63,12
3,13
80,15
67,3
93,2
58,13
62,5
81,28
70,42
12,39
65,45
27,44
TARGETS: ntargets = 15
41,17
88,41
91,32
9,20
52,29
94,3
35,45
48,6
73,11
85,34
54,12
33,18
14,4
80,43
55,31
TARGETS: ntargets = 1
68,22
TARGETS: ntargets = 5
48,37
78,4
71,27
24,29
36,47
